가맹점명,주소
가경2호,충북 청주시 흥덕구 개신동 691
가락2호,서울 송파구 가락동 75-7
가람마을,경기 파주시 와동동 1557-1
가산디지털,서울 금천구 가산동 371-6 가산비지니스센터 2층
가야,부산 부산진구 가야동 478
가양,서울 강서구 등촌동 75-1
가오천동,대전 동구 가오동 235-12
가장내동,대전 서구 가장동 50-45
가정루원시티,인천 서구 가정동 614-14
가좌,인천 서구 가좌동 30-78
가평,경기 가평군 가평읍 대곡리 168-5
가호,경남 진주시 호탄동 611-3
가흥,경북 영주시 가흥동 1881
간석1호,인천 남동구 구월동 70-80
갈곶고현,경기 평택시 갈곶리 239-48
갈마1호,대전 서구 갈마동 394-29
갈매,"경기 구리시 갈매동 608-1 101호, 102호"
갈산삼산지구,인천 부평구 갈산동 55-8
감계,경남 창원시 의창구 북면 감계리 246-4
감만,부산 남구 감만1동 158-6
감삼성당,대구 달서구 감삼동 317-3
강남대,경기 용인시 기흥구 구갈동 594 강남피아
강남역,서울 서초구 서초동 1309-6
강동산하,울산 북구 산하동 89
강서,충북 청주시 흥덕구 가경동 1849
강서구청,서울 강서구 화곡동 986-16
강선,경기 고양시 일산동구 정발산동 687-5
강일,서울 강동구 강일동 679-3 리슈빌오피스텔
강제,충북 제천시 강제동 832
강진,전남 강진군 강진읍 남성리 5-4
강화,인천 강화군 강화읍 갑곳리 199-1
개금1호,부산 부산진구 개금동 2-1
개금2호,부산 부산진구 개금동 523-17
개봉1호,서울 구로구 개봉동 403-159
개운,강원 원주시 개운동 395-23
개포1호,서울 강남구 개포동 1229-18
개포2호,서울 강남구 개포동 158-4
갱고개,충북 충주시 교현동 173-11
거모,경기 시흥시 거모동 1757-1
거북섬,경기 시흥시 정왕동 2720-6
거여가락1호,서울 송파구 가락동 180-9
거제법조,부산 연제구 거제동 891-14
거창1호,경남 거창군 거창읍 대동리 697-5
건대,서울 광진구 화양동 9-18
건입,제주 제주시 일도2동 160-9
검단1호,인천 서구 검단로 왕길동 637-1
검암,인천 서구 검암동 626-2번지 태건프라자 105호
경북도청,경북 예천군 호명면 산합리 1408
경산,경북 경산시 옥산동 758-10(1층)
경산오거리,경북 경산시 중방동 880-1
경포,강원 강릉시 안현동 861-8
경화,경남 창원시 진해시 경화동 1199-2
경희대,서울 동대문구 회기동 42-16
계룡대,충남 계룡시 엄사면 엄사리 253-1
계림,광주 동구 대인동 319-6
계명,대구시 남구 양지로 107
계산1호,인천 계양구 계산동 1081-10
계산2호,인천 계양구 계산동 61-2
계산3호,인천 계양구 계산동 942-30
계양사동,경북 경산시 사동 48
고강1호,경기 부천시 오정구 고강1동 305-4
고덕1호(서울),서울 강동구 고덕동 650-1
고덕1호(평택),경기 평택시 고덕면 여염리 4434-2
고등,경기 성남시 수정구 고등동 595-11
고령,경북 고령군 대가야읍 지산리 3-11
고성(강원),강원 고성군 간성읍 하리 18-1
고성(경남),경남 고성군 고성읍 송학리 244-88
고양동,경기 고양시 덕양구 고양동 176-8 104호
고운,세종 고운동 1718
고읍1호,경기 양주시 광사동 657
고잔1호,경기 안산시 단원구 고잔동 756-1
고잔2호,경기 안산시 단원구 와동 720-13
고창,전북 고창군 고창읍 교촌리 483
고척1호,서울 구로구 개봉1동 126-4
고촌,김포시 고촌읍 신곡리 1064(스카이스퀘어 3)
고현상동,경남 거제시 고현동 406-18
고흥,전남 고흥군 고흥읍 남계리 439-3
곡반정,경기 수원시 권선구 곡반정동 584-4
곤지암,경기 광주시 곤지암읍 곤지암리 443-9
공도1호,경기 안성시 공도읍 만정리 417-98
공릉1호,서울 노원구 공릉동 338-6
공릉2호,서울 노원구 공릉동 461-1
공릉3호,서울 노원구 공릉동 568-27
공업탑,울산 남구 신정동 1218-7
공항신도시,인천 중구 운서동 2801-3
과천1호,경기 과천시 원문동 4 레미안 슈르 A상가(4번지)동 제1층 1023호
과천역,경기 과천시 부림동 49
관교,인천 남구 관교동 321-5
관양,경기 안양시 동안구 관양동 1724-1
관음,대구 북구 관음동 1383-9
관저1호,대전 유성구 원내동 829 외 1필지
관저느리울,대전 서구 관저동 1354
관평,대전 유성구 관평동 1056
광교1호,경기 수원시 영통구 이의동 1332 CB 4~5호
광명1호,경기 광명시 광명동 158-1015
광명역,"경기 광명시 일직동 511-5번지 대호M스퀘어 102호, 103호"
광안1호,수영구 광안동 120-13
광안2호,부산 수영구 광안동 168-3
광양읍1호,전남 광양시 광양읍 칠성리 947-3
광양읍2호,전남 광양시 광양읍 용강리 857-5번지
광장,서울 광진구 광장동 530-13
광주1호,경기 광주시 경안동 154-1
광혜원,충북 진천군 광혜원면 광혜원리 503-7
