가맹점명,주소,위도,경도
송정(구미),경북 구미시 송정동 38-5 우방타운 206동2호,36.1211882,128.3482611
송정(부산),부산 해운대구 송정동 227-7,35.1822099,129.2039977
송정1호,광주 광산구 도산동 1143,35.1291944,126.7917364
송정지구,울산 북구 송정동 407,35.6014505,129.3629638
송천,전북 전주시 덕진구 송천동2가 179-116,35.8667998,127.1310456
송촌1호,대전 대덕구 송촌동 454-4,36.3652399,127.4377878
송탄1호,경기 평택시 이충동 664-4,37.0601315,127.0654969
송탄2호,경기 평택시 지산동 714-11,37.0799427,127.0612666
송파1호,서울 송파구 송파동 147,37.5071708,127.1166153
송현(대구),대구 달서구 송현1동 207-2,35.8320741,128.5529335
송현(인천),인천 동구 송림동 234-1,37.4735542,126.6372116
송현오거리,경북 안동시 송현동 260-5,36.5721611,128.6990942
수곡,충북 청주시 수곡동 896,36.6165350,127.4720775
수내1호,경기 성남시 분당구 수내동 32 양지마을청구아파트,37.3763473,127.1166857
수락산역,서울 노원구 상계동 1118,37.6759956,127.0550181
수성(대구),대구 수성구 수성동4가 1022-11,35.8606320,128.6174350
수성(정읍),전북 정읍시 수성동 954-13,35.5792430,126.8530237
수성호수,대구 수성구 두산동 653-5,35.8268273,128.6223710
수안,부산 동래구 수안동 192-4,35.2010151,129.0843772
수암,울산 남구 야음동 692-6,35.5270533,129.3248469
수양,경남 거제시 수월동 1120-14,34.8934754,128.6410142
수영,부산 수영구 수영동 503-23,35.1685713,129.1197916
수완1호,광주 광산구 장덕동 1479번지 1층,35.1914317,126.8139523
수완2호,광주 광산구 수완동 1126,35.1913084,126.8284820
수원역,경기 수원시 팔달구 고등동 86-4,37.2696534,127.0045589
수유1호,서울 강북구 수유동 385-2,37.6410001,127.0173985
수유역점,서울 강북구 번동 461-127,37.6388968,127.0287948
수정1호,부산 동구 수정동 295-3,35.1281401,129.0457049
수지1지구,경기 용인시 수지구 풍덕천동 29-10,37.3268312,127.0963710
수지2지구,경기 용인시 수지구 풍덕천동 697,37.3231434,127.0920812
수진1호,경기 성남시 수정구 수진동 88번지 102호,37.4396939,127.1325977
수택,경기 구리시 교문동 760-12,37.5919717,127.1317635
숙대,서울 용산구 청파동2가 90-11,37.5450002,126.9696733
순창,전북 순창군 순창읍 순화리 282-6,35.3732133,127.1394504
순천대점,전남 순천시 석현동 80-5,34.9690063,127.4857789
숭인,서울 종로구 숭인2동 183-13,37.5746120,127.0200911
시지1호,대구 수성구 매호동 1328-12,35.8436122,128.7078526
시지2호,대구 수성구 시지동 489-2,35.8396232,128.6936970
