storename,address
신당역점,서울 중구 퇴계로86길 6 (신당동) 
부산거제점,부산 연제구 거제천로87번길 35 (거제동) 
부산초량점,부산 동구 고관로29번길 33 (초량동) 1층
대전문화점,"대전 중구 계백로1716번길 87 (문화동, 센트럴파크3단지아파트) 상가 102"
대전만년점,대전 서구 만년남로 7 (만년동) 
대전중리점,대전 대덕구 홍도로 109 (중리동) 
대전태평점,대전 중구 평촌로 90 (유천동) 
대전갈마점,"대전 서구 갈마중로16번길 7 (갈마동, 한국도로공사 조합아파트) 아파트상가 106호"
대전테크노밸리점,"대전 유성구 배울2로 78 (관평동, 대덕테크노밸리6단지아파트) 상가107호"
대전관저점,대전 서구 관저로 80 (관저동) 
대전낭월점,대전 동구 산내로 1309 (낭월동) 
대전복수점,대전 서구 복수남로 31 (복수동) 
대전가장점,"대전 서구 가장로 106 (가장동, 삼성 래미안아파트) 나르매 A.P.T 달리상가 106호"
대전신성점,대전 유성구 신성남로 31-1 (신성동) 102호
대전둔산3동점,대전 서구 문정로170번길 199 (둔산동) 1층
대전우송대점,대전 동구 동대전로 126-2 (대동) 
대전노은역점,대전 유성구 노은로 144 (지족동) 
대전관저원앙점,대전 서구 관저북로51번길 8-20 (관저동) 102호
대구감삼점,대구 달서구 장기로 176 (감삼동) 
대구대곡역점,대구 달성군 화원읍 비슬로543길 27 
대구대곡역점,대구 달성군 화원읍 비슬로543길 27 
대구불로점,대구 동구 팔공로 149 (불로동) 엠타워 1층
대구범어역점,대구 수성구 동대구로59길 14-8 (범어동) 
대구상인점,"대구 달서구 상인서로 85 (상인동, 상인동방현대아파트) "
대구사월역점,대구 수성구 달구벌대로 3294 (신매동) 시지퍼스트111호
대구용산점,대구 달서구 용산로 230 (용산동) 
대구월성점,대구 달서구 월성로 42 (월성동) 
대구침산점,대구 북구 침산남로 96 (침산동) 포브스 109호
대구테크노점,대구 달성군 유가읍 테크노상업로 82 해피타워 207호
광주경신여고사거리점,광주 북구 서암대로 43 (운암동) 
광주광천점,"광주 서구 화운로 278 (광천동, 광천 e편한세상) 133-103"
광주금호점,광주 서구 풍금로151번길 17 (금호동) 
광주내방점,광주 서구 내방로306번길 12 (내방동) 
광주동림점,"광주 서구 하남대로710번길 3 (동천동) 104(동천동,상가동1층)"
광주두암2동점,광주 북구 삼정로 111 (두암동) 
광주문흥점,광주 북구 문산로 42 (문흥동) 
광주백운점,광주 남구 백운로 70 (백운동) 
광주봉선시장점,"광주 남구 봉선중앙로 93 (봉선동, 라인광장아파트) "
광주봉선점,광주 남구 봉선중앙로 28 (봉선동) 
광주버들점,광주 서구 상무버들로 34 (유촌동) 
광주상무점,광주 서구 치평로 18 (치평동) 
광주선운점,광주 광산구 선운로 10-1 (선암동) 
광주송정점,광주 광산구 송정로 61 (송정동) 
광주수완점,광주 광산구 장신로 140 (수완동) 
광주수완중흥점,광주 광산구 수등로76번길 39-16 (신가동) 
광주신창점,광주 광산구 신창로 74 (신창동) 
광주양산점,광주 북구 양산로 40 (양산동) 
광주연제점,"광주 북구 양일로 55 (연제동, 현대아파트) "
광주염주점,광주 서구 염화로 71 (화정동) 
광주오치점,광주 북구 서하로 203 (오치동) 
광주우산점,광주 북구 면앙로 46 (문흥동) 
광주운남점,광주 광산구 목련로153번길 79 (운남동) 
광주운암점,광주 북구 북문대로 89 (운암동) 101-110
광주월계점,"광주 광산구 임방울대로 727-5 (월계동, 첨단과학산업기지 라인3차아파트) "
광주일곡점,광주 북구 일곡마을로 23 (일곡동) 
광주전대상대점,광주 북구 반룡로 25 (용봉동) 
광주전대정문점,광주 북구 자미로 64 (신안동) 
광주조선대점,광주 동구 장동로 54 (동명동) 
광주진월점,광주 남구 광복마을길 49 (진월동) 
광주첨단2지구점,광주 북구 첨단연신로107번길 16 (신용동) 
광주첨단점,광주 광산구 월계로 154 (월계동) 
광주풍암점,광주 서구 풍암중앙로 49 (풍암동) 
광주하남2지구점,광주 광산구 손재로110번길 36 (산정동) 
광주하남점,광주 광산구 사암로215번길 27 (우산동) 
광주효천2지구점,광주 남구 효우2로26번길 6 (행암동) 
광주장덕점,광주 광산구 장덕로 46-2 (장덕동) 
광주화정힐스테이트점,광주 서구 화정로244번길 29-2 (화정동) 
울산남목3동점,울산 동구 동해안로 19 (서부동) 
울산달천점,"울산 북구 달천로 50 (달천동, 달천아이파크1차) "
울산매곡점,울산 북구 매산로 29 (매곡동) 
울산무거점,울산 남구 신복로21번길 18 (무거동) 
울산반구홈플러스점,울산 중구 번영로 478 (반구동) 
울산삼산점,울산 남구 삼산중로 114 (삼산동) 
울산언양점,울산 울주군 언양읍 헌양길 42 
울산옥동점,울산 남구 거마로 7-1 (옥동) 
울산유곡점,울산 중구 종가4길 9 (유곡동) 
울산전하점,"울산 동구 봉수로 250 (전하동, 울산전하푸르지오) "
울산태화점,울산 중구 태화로 183 (태화동) 
울산호계점,울산 북구 동대5길 47 (호계동) 
울산남외점,울산 중구 남외3길 7 (남외동) 
울산화봉점,"울산 북구 화동로 11 (화봉동, 화봉 쌍용예가) "
부산구포3동점,"부산 북구 시랑로 94 (구포동, 한창데파트) "
부산가야점,부산 부산진구 엄광로 264 (가야동) 
부산광안점,부산 수영구 광일로 23 (광안동) 
부산남천역점,부산 수영구 수영로 396 (남천동) 
부산남항점,부산 영도구 남항로 38 (남항동2가) 
부산당리점,부산 사하구 제석로65번길 2 (당리동) 
부산대연점,부산 남구 진남로 17-26 (대연동) 
부산동대신점,부산 서구 구덕로 327 (서대신동3가) 
부산동서대점,부산 사상구 가야대로366번길 54 (주례동) 
부산동서대점,부산 사상구 가야대로366번길 54 (주례동) 
부산동아대점,부산 사하구 낙동대로 524 (하단동) 
부산두실점,부산 금정구 중앙대로1945번길 30 (구서동) 
부산마린시티점,"부산 해운대구 마린시티3로 1 (우동, 선프라자) "
부산망미주공점,부산 연제구 과정로 103 (연산동) 
부산반송점,"부산 해운대구 신반송로 194 (반송동, 광하아파트) "
부산반여1동점,부산 해운대구 선수촌로 83 (반여동) 
부산부경대점,부산 남구 수영로266번길 61 (대연동) 
부산부곡3동점,"부산 금정구 수림로 12 (부곡동, 에스케이아파트) "
부산사직점,부산 동래구 사직로70번길 76 (사직동) 
부산서동점,부산 금정구 서부로 12 (서동) 
부산신만덕점,부산 북구 만덕3로 60 (만덕동) 
부산안락점,부산 동래구 안락로 131-1 (안락동) 
부산명륜점,부산 동래구 시실로 23 (명륜동) 
