가맹점명,주소,위도,경도
경복궁역점,서울 종로구 자하문로 19 (체부동),37.5777469,126.9718073
동묘앞역점,서울 종로구 지봉로 50 (숭인동),37.5745114,127.0159516
종로점,서울 종로구 삼봉로 81 (수송동),37.5725619,126.9815061
약수점,서울 중구 다산로 136 (신당동),37.5559056,127.0115349
상왕십리점,서울 성동구 왕십리로 357 (하왕십리동),37.5638346,127.0302220
용답점,서울 성동구 용답중앙15길 15 (용답동),37.5648114,127.0539366
뚝섬역점,서울 성동구 상원길 52 (성수동1가),37.5486145,127.0483730
행당점,서울 성동구 행당로 75 (행당동),37.5565532,127.0274496
성수점,서울 성동구 성덕정길 78 (성수동2가),37.5378480,127.0521077
성수쇼핑센타점,서울 성동구 아차산로7길 22 (성수동2가),37.5470566,127.0550709
마장역점,서울 성동구 마장로 299 (마장동),37.5662755,127.0427510
한양대역점,서울 성동구 왕십리로 217-1 (행당동),37.5568832,127.0427538
신금호역점,서울 성동구 금호로 145 (금호동2가),37.5539760,127.0205538
서울 금호점(금남시장),서울 성동구 장터길 43 (금호동3가),37.5484004,127.0207444
자양점,서울 광진구 뚝섬로 630 (자양동),37.5319498,127.0794117
군자역점,서울 광진구 천호대로111길 24 (중곡동),37.5573223,127.0826068
아차산역점,서울 광진구 자양로 294 (구의동),37.5517662,127.0923552
광진구청점,서울 광진구 자양로 120 (구의동),37.5385811,127.0835851
세종대점,서울 광진구 군자로 82 (군자동),37.5503952,127.0711914
광장점,서울 광진구 아차산로 499 (광장동),37.5418224,127.0970298
건대점,서울 광진구 능동로13길 44 (화양동),37.5439087,127.0701331
중곡제일시장점,서울 광진구 능동로51길 44 (중곡동),37.5665913,127.0818195
노룬산점,서울 광진구 뚝섬로 480 (자양동),37.5364286,127.0635633
장안홈타운점,"서울 동대문구 장안벚꽃로 107 (장안동, 장안현대홈타운)",37.5694827,127.0747898
답십리점,서울 동대문구 전농로 104 (답십리동),37.5742794,127.0578290
시립대점,서울 동대문구 전농로 209 (전농동),37.5828740,127.0537533
안암점,서울 동대문구 안암로 68 (용두동),37.5821441,127.0290990
용두점,서울 동대문구 고산자로29길 6 (용두동),37.5762849,127.0378117
장한평역점,서울 동대문구 장한로6길 4 (장안동),37.5636947,127.0664372
휘경점,서울 동대문구 사가정로 222 (장안동),37.5785474,127.0696574
경희대점,서울 동대문구 회기로 170 (회기동),37.5902995,127.0548487
청량리점,서울 동대문구 홍릉로 36 (청량리동),37.5834726,127.0443943
외대앞역점,서울 동대문구 휘경로 14 (이문동),37.5957081,127.0615439
한성대역점,서울 성북구 삼선교로 36-1 (삼선동2가),37.5880798,127.0098002
성신여대점,서울 성북구 보문로34길 77 (동선동1가),37.5914004,127.0195084
길음역점,"서울 성북구 동소문로 248 (길음동, 삼부아파트)",37.6026982,127.0236736
장위고개점,서울 성북구 장위로 51 (장위동),37.6141672,127.0423395
돈암점,"서울 성북구 아리랑로 68 (돈암동, 돈암 힐스테이트아파트)",37.5989165,127.0154413
월곡점,"서울 성북구 오패산로 46 (하월곡동, 월곡두산위브아파트)",37.6070692,127.0387215
정릉점,서울 성북구 보국문로16길 31 (정릉동),37.6114223,127.0091051
장위점,서울 성북구 돌곶이로 154 (장위동),37.6154701,127.0518447
보문역점,서울 성북구 지봉로 180 (보문동2가),37.5849690,127.0188296
석관점,서울 성북구 돌곶이로 60 (석관동),37.6092027,127.0589936
성북점,서울 성북구 성북로 24-1 (성북동),37.5902675,127.0045232
